sID,trial_number,trial_number_run,run,estimate1,confidence_rating,estimate2,estimate_peer,confidence_peer,estimate1_rt,confidence_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed
17,1,1,prac,55,1,60,73,2,3.74611303999995,2.351883039999848,6.09346143999983,0.625,0.6222222222222222,45,0,1.8,9 9 9 9 9,6 7 4 6 5,3 2 5 3 4
17,2,2,prac,40,1,40,22,1,8.49583594000001,3.3202971399996386,4.36208393999982,0.375,0.37777777777777777,45,0,1.6,9 9 9 9 9,3 4 5 2 3,6 5 4 7 6
17,3,3,prac,50,2,50,66,2,4.44710764000001,3.1520897399998375,3.2282637400001,0.625,0.6,5,0,2,1 1 1 1 1,0 1 1 0 1,1 0 0 1 0
17,4,4,prac,70,2,70,53,3,6.51245403999997,2.6524190399998133,3.71643203999975,0.625,0.6222222222222222,45,0,1.5,9 9 9 9 9,2 6 6 8 6,7 3 3 1 3
17,5,5,prac,80,2,80,78,2,6.53038003999995,2.9362300399998276,3.79421753999986,0.875,0.8,5,1,1.9,1 1 1 1 1,1 0 1 1 1,0 1 0 0 0
17,6,6,prac,20,2,20,5,1,8.52832243999978,2.252363639999885,2.89349623999988,0.125,0.2,5,0,1.8,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1
17,7,7,prac,20,2,20,36,2,8.09501593999994,2.735718540000107,2.39773353999999,0.375,0.4,5,0,1.8,1 1 1 1 1,0 1 0 0 1,1 0 1 1 0
17,8,8,prac,100,3,99,99,3,2.61283203999983,2.302659740000081,4.83104823999997,1,1,45,1,1.9,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
17,9,9,prac,53,1,55,70,1,5.41346474000011,2.0854404399999567,4.03076463999992,0.625,0.6222222222222222,45,0,2,9 9 9 9 9,7 4 8 4 5,2 5 1 5 4
17,10,10,prac,10,2,10,28,1,3.76293854000005,2.535801539999966,3.12448934000008,0.125,0.13333333333333333,45,0,1.8,9 9 9 9 9,1 1 3 0 1,8 8 6 9 8
17,11,11,prac,60,2,60,76,1,5.59555503999991,2.38634363999995,3.66355963999968,0.625,0.6,5,0,1.6,1 1 1 1 1,1 0 1 1 0,0 1 0 0 1
17,12,12,prac,40,2,40,40,3,12.3963838399998,2.5032294399998136,2.85812703999977,0.5,0.4,5,1,1.5,1 1 1 1 1,0 0 0 1 1,1 1 1 0 0
17,13,13,prac,85,1,85,99,2,4.09617393999997,3.8031593399998656,3.89656663999995,0.875,0.8666666666666667,45,0,1.6,9 9 9 9 9,9 8 6 8 8,0 1 3 1 1
17,14,14,prac,80,2,84,96,2,6.29516493999995,2.2015801399998054,4.42935763999981,0.875,0.8,5,0,1.7,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0
17,15,15,prac,56,2,60,71,3,4.19567123999991,2.352540939999926,3.52993274000005,0.625,0.6,5,0,1.7,1 1 1 1 1,0 1 1 0 1,1 0 0 1 0
23,1,1,prac,100,3,100,98,3,2.96353585000088,1.8529704499997024,9.230405799999971,1,1,45,1,2,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
23,2,2,prac,40,3,40,25,2,8.17976015000022,1.720044050000979,7.194938800000273,0.375,0.4,5,0,1.7,1 1 1 1 1,1 0 1 0 0,0 1 0 1 1
23,3,3,prac,40,2,33,22,1,7.72927524999977,2.252377549999437,8.183362050000142,0.375,0.37777777777777777,45,0,2,9 9 9 9 9,2 2 2 6 5,7 7 7 3 4
23,4,4,prac,80,2,65,32,1,8.49611985000047,2.1196763500001907,7.730944399999316,0.875,0.8,5,1,1.7,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1
23,5,5,prac,20,3,12,2,1,7.61372465000022,2.0207669499995973,[],0.125,0.2,5,0,1.9,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0
23,6,6,prac,60,3,70,75,2,12.3784925500004,1.9870799500004068,6.818083999999544,0.625,0.6,5,0,1.5,1 1 1 1 1,1 0 0 1 1,0 1 1 0 0
23,7,7,prac,22,2,15,6,2,12.1795315499994,1.5865299500010224,7.3592766000001575,0.125,0.13333333333333333,45,0,1.6,9 9 9 9 9,0 1 2 1 2,9 8 7 8 7
