sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating
6,26,1,2,35,45,50,3,5.699372710001626,3.71902260999923,0.375,0.4,5,0,4.3,1 1 1 1 1,1 0 1 0 0,0 1 0 1 1,0.6666666666666666,compromise,1
6,27,2,2,6,7,24,1,1.604958110001462,3.91877368000132,0.25,0.2,5,0,6,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0,0.05555555555555555,compromise,1
6,28,3,2,39,34,23,3,6.1908470099988335,4.84961008000028,0.375,0.37777777777777777,45,0,5.2,9 9 9 9 9,1 2 4 6 4,8 7 5 3 5,0.3125,compromise,2.4285714285714284
6,29,4,2,65,65,49,1,2.6964901100000134,4.60766148000039,0.625,0.6,5,0,5.4,1 1 1 1 1,0 1 1 1 0,1 0 0 0 1,-0,stay,1
6,30,5,2,59,60,75,1,9.766146910002135,2.5317355799998,0.625,0.6,5,0,5.3,1 1 1 1 1,1 0 1 1 0,0 1 0 0 1,0.0625,compromise,1
6,31,6,2,1,1,1,3,9.196731909996743,1.9557028800009,0,0,45,1,5.7,9 9 9 9 9,0 0 0 0 0,9 9 9 9 9,NA,NA,2.4285714285714284
6,32,7,2,32,41,50,2,4.741169810000429,3.38880728000004,0.375,0.4,5,0,5.5,1 1 1 1 1,1 0 0 1 0,0 1 1 0 1,0.5,compromise,1
6,33,8,2,11,17,29,2,4.392628409997997,5.57032398000229,0.25,0.2,5,0,5.8,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.3333333333333333,compromise,1
6,34,9,2,12,13,28,1,4.157819810003275,6.53722248000122,0.125,0.2,5,0,4.4,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1,0.0625,compromise,1
6,35,10,2,91,82,74,3,7.125904510001419,3.57930028000192,0.75,0.8,5,0,5.4,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1,0.5294117647058824,compromise,1
6,36,11,2,88,88,71,1,5.453718310003751,5.46104217999891,0.75,0.7555555555555555,45,0,4.1,9 9 9 9 9,8 9 5 5 7,1 0 4 4 2,-0,stay,2.4285714285714284
6,37,12,2,92,88,76,2,4.394254210001236,4.79647658000249,0.75,0.8,5,0,4.9,1 1 1 1 1,1 0 1 1 1,0 1 0 0 0,0.25,compromise,1
6,38,13,2,91,91,90,2,4.266114510002808,4.59670238000035,0.75,0.8,5,1,4.2,1 1 1 1 1,1 0 1 1 1,0 1 0 0 0,-0,stay,1
6,39,14,2,87,85,70,2,9.649369210001169,3.74741778000316,0.75,0.7555555555555555,45,0,5.9,9 9 9 9 9,5 8 7 7 7,4 1 2 2 2,0.11764705882352941,compromise,2.4285714285714284
6,40,15,2,4,10,20,2,6.132645710003999,6.35635267999896,0.125,0.13333333333333333,45,0,5.2,9 9 9 9 9,0 3 3 0 0,9 6 6 9 9,0.375,compromise,2.4285714285714284
6,41,16,2,67,61,50,3,5.882515710003645,5.90743447999921,0.625,0.6222222222222222,45,0,5.5,9 9 9 9 9,6 5 5 6 6,3 4 4 3 3,0.35294117647058826,compromise,2.4285714285714284
6,42,17,2,7,13,22,2,3.2492103100012173,6.02149108000231,0.125,0.2,5,0,4.8,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.4,compromise,1
6,43,18,2,12,14,29,2,1.4658029099991836,3.59309088000737,0.25,0.24444444444444444,45,0,4.3,9 9 9 9 9,2 3 2 1 3,7 6 7 8 6,0.11764705882352941,compromise,2.4285714285714284
6,44,19,2,8,12,24,3,3.6662296099966625,5.65774747999967,0.25,0.24444444444444444,45,0,4.5,9 9 9 9 9,0 2 4 3 2,9 7 5 6 7,0.25,compromise,2.4285714285714284
6,45,20,2,63,57,46,2,6.078578610002296,7.64100478000182,0.625,0.6,5,0,4.8,1 1 1 1 1,1 1 0 0 1,0 0 1 1 0,0.35294117647058826,compromise,1
6,46,21,2,67,67,67,1,9.028264610002225,5.87775918000261,0.625,0.6222222222222222,45,1,4.2,9 9 9 9 9,6 6 7 4 5,3 3 2 5 4,NA,NA,2.4285714285714284
6,47,22,2,69,65,54,2,6.976064710001083,3.69133828000122,0.625,0.6222222222222222,45,0,5.1,9 9 9 9 9,8 5 6 2 7,1 4 3 7 2,0.26666666666666666,compromise,2.4285714285714284
6,48,23,2,33,40,50,1,4.290993710001203,5.361584580005,0.375,0.4,5,0,4,1 1 1 1 1,1 1 0 0 0,0 0 1 1 1,0.4117647058823529,compromise,1
6,49,24,2,14,14,30,1,2.094014310001512,4.51466888999494,0.25,0.24444444444444444,45,0,4.8,9 9 9 9 9,1 1 4 2 3,8 8 5 7 6,0,stay,2.4285714285714284
6,50,25,2,72,72,18,2,8.902700610000466,4.3569218800003,0.75,0.7555555555555555,45,1,5.3,9 9 9 9 9,6 8 6 8 6,3 1 3 1 3,-0,stay,2.4285714285714284
6,51,1,3,11,11,10,1,4.849336330000369,3.09016762999454,0.25,0.2,5,1,4.6,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,-0,stay,1
6,52,2,3,77,77,59,1,5.6036874299970805,4.7020658399997,0.75,0.7555555555555555,45,0,4,9 9 9 9 9,9 7 6 6 6,0 2 3 3 3,-0,stay,2.4285714285714284
6,53,3,3,86,86,68,2,5.3742067299972405,4.98841334000099,0.75,0.7555555555555555,45,0,4.5,9 9 9 9 9,7 8 6 8 5,2 1 3 1 4,-0,stay,2.4285714285714284
6,54,4,3,63,70,80,3,4.811836329994549,4.14675213999726,0.625,0.6,5,0,5.3,1 1 1 1 1,1 1 1 0 0,0 0 0 1 1,0.4117647058823529,compromise,1
6,55,5,3,52,54,67,2,4.032436329995107,3.32288153999616,0.625,0.6222222222222222,45,0,5.7,9 9 9 9 9,7 6 6 6 3,2 3 3 3 6,0.13333333333333333,compromise,2.4285714285714284
6,56,6,3,92,90,74,1,4.374224529998173,4.54703350999989,0.75,0.8,5,0,5.2,1 1 1 1 1,1 1 0 1 1,0 0 1 0 0,0.1111111111111111,compromise,1
6,57,7,3,9,15,25,2,3.557533430001058,3.88741213999674,0.25,0.2,5,0,4.4,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1,0.375,compromise,1
6,58,8,3,9,17,27,3,3.583711929997662,3.46459934000086,0.25,0.2,5,0,5.3,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0,0.4444444444444444,compromise,1
6,59,9,3,43,41,27,1,4.532555030000367,5.6439322399965,0.375,0.4,5,0,5.1,1 1 1 1 1,0 0 1 1 0,1 1 0 0 1,0.125,compromise,1
6,60,10,3,6,7,22,3,3.8324830299970927,2.52296573999774,0.125,0.13333333333333333,45,0,5,9 9 9 9 9,0 1 2 2 1,9 8 7 7 8,0.0625,compromise,2.4285714285714284
6,61,11,3,7,13,25,3,2.2202405299976817,2.94196123999791,0.125,0.2,5,0,4.2,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1,0.3333333333333333,compromise,1
6,62,12,3,28,34,45,3,5.224091729996871,3.44824433999747,0.375,0.4,5,0,5.3,1 1 1 1 1,0 0 1 0 1,1 1 0 1 0,0.35294117647058826,compromise,1
6,63,13,3,100,99,98,3,3.638359929998842,3.64478403999965,1,1,45,1,5.9,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0,0.5,compromise,2.4285714285714284
